timestamp,benchmark,task,backend,model,num_samples,metric,value,duration_s,prompt_version,config_hash,git_sha
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,aa,0.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/binary,0.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/mcq,0.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/binary,119.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/mcq,81.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:15:56+00:00,bigearthnet_bench,crossmodal_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,oa,0.000000,19.11,1.1.0,b0e0e192f55f,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,aa,0.003521,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_or_not,0.028169,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_ratio,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_ratio_types,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/change_to_what,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/decrease_or_not,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/increase_or_not,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/largest_change,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/smallest_change,0.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/change_or_not,71.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/change_ratio,10.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/change_ratio_types,29.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/change_to_what,16.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/decrease_or_not,24.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/increase_or_not,20.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/largest_change,15.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/smallest_change,15.000000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:21+00:00,cdvqa,change_vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,oa,0.010000,25.58,1.1.0,febb9815b313,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,aa,0.422207,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/comp,0.125000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/count,0.063830,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/presence,0.500000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/rural_urban,1.000000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/comp,80.000000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/count,47.000000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/presence,72.000000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/rural_urban,1.000000,10.02,1.1.0,6709386b4449,
2026-09-10T23:16:32+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,oa,0.250000,10.02,1.1.0,6709386b4449,
2026-09-10T23:17:09+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu1,0.310948,37.34,1.1.0,b139644900af,
2026-09-10T23:17:09+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu2,0.165870,37.34,1.1.0,b139644900af,
2026-09-10T23:17:09+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu3,0.087614,37.34,1.1.0,b139644900af,
2026-09-10T23:17:09+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu4,0.047792,37.34,1.1.0,b139644900af,
2026-09-10T23:17:09+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,cider_d,0.128230,37.34,1.1.0,b139644900af,
2026-09-10T23:17:09+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,37.34,1.1.0,b139644900af,
