timestamp,benchmark,task,backend,model,num_samples,metric,value,duration_s,prompt_version,config_hash,git_sha
2026-09-10T11:23:48+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,n/rural_urban,1.000000,8.63,1.1.0,6709386b4449,
2026-09-10T11:23:48+00:00,rsvqa_lr,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,oa,0.250000,8.63,1.1.0,6709386b4449,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu1,0.310948,32.29,1.1.0,b139644900af,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu2,0.165870,32.29,1.1.0,b139644900af,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu3,0.087614,32.29,1.1.0,b139644900af,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,bleu4,0.047792,32.29,1.1.0,b139644900af,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,cider_d,0.128230,32.29,1.1.0,b139644900af,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,32.29,1.1.0,b139644900af,
2026-09-10T11:24:21+00:00,vrsbench_caption,caption,hf,Qwen/Qwen3-VL-2B-Instruct,200,rouge_l,0.256796,32.29,1.1.0,b139644900af,
2026-09-10T11:24:45+00:00,vrsbench_referring,grounding,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc@0.25,0.000000,23.21,1.1.0,f04d0362c36b,
2026-09-10T11:24:45+00:00,vrsbench_referring,grounding,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc@0.5,0.000000,23.21,1.1.0,f04d0362c36b,
2026-09-10T11:24:45+00:00,vrsbench_referring,grounding,hf,Qwen/Qwen3-VL-2B-Instruct,200,miou,0.000821,23.21,1.1.0,f04d0362c36b,
2026-09-10T11:24:45+00:00,vrsbench_referring,grounding,hf,Qwen/Qwen3-VL-2B-Instruct,200,n,200.000000,23.21,1.1.0,f04d0362c36b,
2026-09-10T11:24:45+00:00,vrsbench_referring,grounding,hf,Qwen/Qwen3-VL-2B-Instruct,200,parse_rate,0.835000,23.21,1.1.0,f04d0362c36b,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,aa,0.220003,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/image,0.000000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object category,0.034483,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object color,0.666667,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object direction,0.500000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object existence,0.266667,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object position,0.200000,16.26,1.1.0,4f815a89ec06,
2026-09-10T11:25:02+00:00,vrsbench_vqa,vqa,hf,Qwen/Qwen3-VL-2B-Instruct,200,acc/object quantity,0.000000,16.26,1.1.0,4f815a89ec06,
